GEOID,Turnout_Rate,NAME,Male_Pop,Female_Pop,Total_Ethnicity,White_Non_Hispanic,Black_African_American,Asian,Hispanic_Latino,Other_race,Total_Commuters,Drove_Alone_to_Work,Public_Transportation_Users,Worked_From_Home,Total_Education_Population,High_School_Graduate,Bachelors_Degree,Graduate_Professional_Degree,Median_Household_Income,Total_Employed,Total_Unemployed
24003750102,0.32651834,Census Tract 7501.02; Anne Arundel County; Maryland,994,891,287,10,10,0,0,0,1291,1246,0,0,1590,355,63,29,76882,1314,94
24003750201,0.429949239,Census Tract 7502.01; Anne Arundel County; Maryland,1562,1145,882,40,0,0,0,0,1687,1347,265,1,2721,977,59,34,65279,1706,76
24003750204,0.408181547,Census Tract 7502.04; Anne Arundel County; Maryland,1882,1700,346,12,0,0,0,0,2437,2208,44,0,3420,1137,185,77,85094,2372,16
24003750300,0.472886297,Census Tract 7503; Anne Arundel County; Maryland,972,864,195,41,41,0,0,0,1429,1228,23,0,1927,454,272,39,101713,1429,73
24003750400,0.599239062,Census Tract 7504; Anne Arundel County; Maryland,1579,1464,329,17,13,0,0,0,2016,1731,51,0,2955,589,369,31,124821,2004,21
24003750801,0.492746246,Census Tract 7508.01; Anne Arundel County; Maryland,2204,2035,271,81,0,0,0,0,3139,2460,25,47,3854,993,540,166,91339,3014,92
24003750803,0.34698609,Census Tract 7508.03; Anne Arundel County; Maryland,2352,1980,789,16,16,0,0,0,3169,2894,107,0,4574,1367,206,23,72003,3206,382
24003750804,0.44515357,Census Tract 7508.04; Anne Arundel County; Maryland,1707,1445,529,103,0,0,0,0,2176,1972,49,16,2923,1087,137,0,75819,2142,74
24003750900,0.438390612,Census Tract 7509; Anne Arundel County; Maryland,1188,1062,251,21,0,0,0,0,1524,1324,1,0,2164,656,97,25,93833,1486,103
24003751000,0.437878788,Census Tract 7510; Anne Arundel County; Maryland,1771,1546,348,52,0,0,0,0,2173,1874,0,0,2798,960,151,46,79115,2065,226
24003751102,0.43365584,Census Tract 7511.02; Anne Arundel County; Maryland,1859,1642,487,7,0,0,0,0,2190,1801,194,0,3588,1142,202,10,79621,2199,109
24003751103,0.440568154,Census Tract 7511.03; Anne Arundel County; Maryland,2408,2377,88,18,18,0,0,0,2960,2771,11,0,3662,957,210,0,74239,3065,41
24003751200,0.51750306,Census Tract 7512; Anne Arundel County; Maryland,2160,1966,336,39,11,0,0,0,3055,2548,20,0,3629,585,523,72,118396,2929,61
24003751400,0.556704076,Census Tract 7514; Anne Arundel County; Maryland,1832,1735,395,7,0,0,0,0,2159,1800,92,16,3280,678,548,13,142470,2163,28
24003751500,0.353545477,Census Tract 7515; Anne Arundel County; Maryland,2436,1426,2437,23,0,0,0,0,3588,2895,116,0,4682,1363,324,20,66054,3646,369
24003751600,0.69347776,Census Tract 7516; Anne Arundel County; Maryland,1908,1808,327,222,54,0,0,3,1544,1212,34,0,4604,764,991,147,105208,1496,35
24003751700,0.623717686,Census Tract 7517; Anne Arundel County; Maryland,1085,1013,148,23,7,0,0,0,1335,1116,38,0,1884,298,251,84,214679,1320,21
24003980000,0,Census Tract 9800; Anne Arundel County; Maryland,3,3,0,0,0,0,0,0,0,0,0,0,5,2,2,0,NA,0,0
24003990000,NA,Census Tract 9900; Anne Arundel County; Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
24005400100,0.634896468,Census Tract 4001; Baltimore County; Maryland,1438,1192,537,83,30,0,0,0,1167,979,55,0,3604,873,422,64,61471,1143,0
24005400200,0.512331839,Census Tract 4002; Baltimore County; Maryland,1008,757,601,58,13,0,0,0,1750,1337,76,0,1897,365,278,51,85893,1779,62
24005400400,0.623703377,Census Tract 4004; Baltimore County; Maryland,2060,1941,302,25,13,13,0,0,2669,2196,16,16,3953,659,678,244,130375,2661,63
24005400500,0.656016598,Census Tract 4005; Baltimore County; Maryland,1045,1024,47,10,0,0,0,0,1376,963,38,0,1981,175,452,85,171292,1399,54
24005400600,0.528358209,Census Tract 4006; Baltimore County; Maryland,1186,1000,506,166,0,0,0,0,1926,1348,129,0,2206,329,306,27,97438,1952,27
24005400701,0.492323439,Census Tract 4007.01; Baltimore County; Maryland,1304,1060,413,0,0,0,0,0,1856,1360,26,0,2228,402,317,16,81750,1906,100
24005400702,0.445660102,Census Tract 4007.02; Baltimore County; Maryland,715,648,175,18,0,0,0,0,817,619,33,0,1293,253,207,20,105417,884,1
24005400800,0.495760599,Census Tract 4008; Baltimore County; Maryland,1008,725,746,49,6,0,0,0,1226,1122,18,0,2026,442,166,74,84137,1218,125
24005400900,0.530677291,Census Tract 4009; Baltimore County; Maryland,578,462,427,18,4,0,0,0,866,692,38,0,1259,154,208,10,76992,887,93
